day,hour,TEMP
1,0,-11
1,1,-12
1,2,-11
1,3,-14
1,4,-12
1,5,-10
1,6,-9
1,7,-9
1,8,-9
1,9,-8
1,10,-7
1,11,-5
1,12,-5
1,13,-3
1,14,-2
1,15,-1
1,16,-2
1,17,-3
1,18,-5
1,19,-4
1,20,-5
1,21,-5
1,22,-5
1,23,-5
2,0,-4
2,1,-4
2,2,-5
2,3,-5
2,4,-5
2,5,-6
2,6,-6
2,7,-5
2,8,-6
2,9,-5
2,10,-5
2,11,-5
2,12,-5
2,13,-5
2,14,-5
2,15,-5
2,16,-5
2,17,-5
2,18,-5
2,19,-5
2,20,-5
2,21,-5
2,22,-6
2,23,-6
3,0,-6
3,1,-6
3,2,-7
3,3,-7
3,4,-7
3,5,-8
3,6,-8
3,7,-9
3,8,-9
3,9,-9
3,10,-9
3,11,-9
3,12,-9
3,13,-9
3,14,-9
3,15,-9
3,16,-9
3,17,-9
3,18,-9
3,19,-9
3,20,-9
3,21,-10
3,22,-9
3,23,-11
